layers,neurons,eta,0,1,2,3,4
L=2,$l_i$=4,$eta=0.20$,"Matrix([[0.795925032804066, 0.0979611267360782], [0.618550168634087, 0.234428189394647]])","Matrix([[0.237175592676676, 0.600494028952910], [0.649534578203497, 0.577087329318337], [0.754467251702544, 0.466600570794228], [0.524698796648219, 0.728117274544042]])","Matrix([[0.291897389300706, 0.775942927671536, 0.529149964988334, 0.405500084617373], [0.244426651644084, 0.335116195079361, 0.802020236501231, 0.828742499161478], [0.879186330738314, 0.519022646302402, 0.476596529904051, 0.798151316331122], [0.600311057794158, 0.319225754316001, 0.247207800821787, 0.389821306517742]])","Matrix([[2.02635436223069, 2.00922848874462, 1.90739080681411, 1.32405090664122]])",
L=2,$l_i$=5,$eta=0.20$,"Matrix([[0.640966402029813, 0.594528812148974], [0.630925226688455, 0.313187183250649]])","Matrix([[0.164545329459737, 0.0499047882877124], [0.145250744473407, 0.650608711681237], [0.236596334388798, 0.687907780349671], [0.261420899899960, 0.278966950609518], [0.384097507623134, 0.527513038710116]])","Matrix([[0.446866089996650, 0.699754602968125, 0.816759287931711, 0.199327064279377, 0.557457742791566], [0.636603799988329, 0.650530181651062, 0.630167279879288, 0.331767953818443, 0.170681834393467], [0.268795836748086, 0.449714528558880, 0.468702833372036, 0.667015229927144, 0.128314393658127], [0.158575729936115, 0.629799912856604, 0.608096333448587, 0.263408765723302, 0.634065653686219], [0.307109826057579, 0.708822246158877, 0.495304008753642, 0.525594201206788, 0.523449900116520]])","Matrix([[1.92200638944401, 1.21894005671391, 1.18644667415046, 1.22277026482556, 1.85672084570747]])",
L=3,$l_i$=1,$eta=0.90$,"Matrix([[0.116278397300225, 0.650820857386872], [0.826897164724955, 0.578399854337921]])","Matrix([[0.316019401897962, 1.09023213191009]])",Matrix([[2.15541315837390]]),Matrix([[3.28372520653982]]),Matrix([[6.56889948633778]])
L=3,$l_i$=2,$eta=0.90$,"Matrix([[0.619904011223502, 0.458170896422480], [0.687699860384377, 0.362698240366136]])","Matrix([[0.245715483698653, 0.790272987157840], [0.683837341933959, 0.116099598110893]])","Matrix([[0.357367364980161, 0.745684067996635], [1.14439456595947, 1.03356812864543]])","Matrix([[1.43319671660110, 1.62444825682271], [0.966413448266226, 1.58861565916748]])","Matrix([[3.94280063035100, 3.62396765487452]])"
L=3,$l_i$=3,$eta=0.90$,"Matrix([[0.666023463898830, 0.472731804941737], [0.899225127033591, 0.329495314749398]])","Matrix([[0.764060545278077, 0.433498618293704], [0.0769337582657520, 0.419129032855743], [0.628864697159464, 0.294666713901092]])","Matrix([[0.531489230256957, 0.521130862288019, 0.340666450975625], [0.572469556466651, 0.461770675731857, 0.223774667860023], [0.560571369078847, 0.719496372026478, 0.496412917123752]])","Matrix([[0.933567296985555, 1.09046593069365, 1.05205515818550], [0.819111831812246, 1.25965449159827, 1.12737457736047], [0.853831665202535, 0.480698039489365, 0.866567609973971]])","Matrix([[2.54666434347304, 3.46976640756039, 1.99000657978892]])"
L=3,$l_i$=4,$eta=0.90$,"Matrix([[0.0383561478763550, 0.273792121973598], [0.405832445729630, 0.573434525491045]])","Matrix([[0.160521912916483, 0.522462468616333], [0.307717604219252, 0.572985604503137], [0.472211355620362, 0.463551482765379], [0.496920108511167, 0.216821951046485]])","Matrix([[0.203280214486794, 0.520371323921255, 0.510110828535344, 0.217405360233889], [0.618293893771578, 0.312783323364620, 0.473927424260298, 0.603843433511262], [0.703905393003291, 0.402842083442032, 0.198419381743321, 0.181844401904997], [0.349636242055060, 0.735095476485521, 0.191075554326579, 0.629450507323083]])","Matrix([[0.344338151454772, 0.537060815991508, 0.900730516447410, 0.691124662831158], [0.382381298882422, 0.724116476626750, 0.764714201277434, 0.624565038418635], [0.496280316927349, 0.339612784600206, 0.442097453674135, 0.604491052336733], [0.717256186554394, 0.479047102450648, 0.903974752281918, 0.460243170895673]])","Matrix([[2.10316537353079, 1.96140707049960, 2.19742692268320, 2.40014553932890]])"
L=3,$l_i$=5,$eta=0.90$,"Matrix([[0.146725671117397, 0.215823069828626], [0.792700866843588, 0.739576497324604]])","Matrix([[0.246063916503194, 0.204515604064375], [0.580484862566089, 0.287443381817071], [0.347870877538561, 0.441961575460906], [0.139465844265396, 0.360473913323519], [0.526456603388575, 0.379127894773435]])","Matrix([[0.227341909552861, 0.326611186437992, 0.551287801021956, 0.0814574047877011, 0.236352784051350], [0.298808107632716, 0.307288839153278, 0.360166315423741, 0.435279502420534, 0.272873387449082], [0.226703505144943, 0.666691378937089, 0.418341869335618, 0.415063624974537, 0.642662890286978], [0.259212069590673, 0.380495207392319, 0.239732141569286, 0.539182841845534, 0.512126995387127], [0.347480377138101, 0.298896121925884, 0.478172967170258, 0.392181364182462, 0.166110350869272]])","Matrix([[0.700105028005108, 0.271031912763599, 0.642441187208832, 0.225094144325194, 0.393554489895583], [0.585034808070584, 0.398898216248066, 0.671171056332629, 0.249065246873859, 0.686130771245002], [0.671538548030067, 0.392750661188331, 0.805288233346569, 0.721291732749334, 0.320210571023682], [0.413719070334884, 0.646139056724486, 0.452961851018205, 0.235682158414058, 0.319232696729319], [0.589591948261959, 0.595010758214203, 0.440685606380153, 0.372572438005061, 0.512016024194907]])","Matrix([[1.52315531097415, 1.26698084574067, 2.47844501384371, 1.04038804271580, 2.36491746708146]])"
L=3,$l_i$=1,$eta=0.50$,"Matrix([[0.693153239316320, 0.489726546806571], [0.626798251587661, 0.245048607414389]])","Matrix([[0.267270551779541, 0.991699369921959]])",Matrix([[1.68717669787902]]),Matrix([[3.02182727396239]]),Matrix([[6.29390462966970]])
L=3,$l_i$=2,$eta=0.50$,"Matrix([[0.509190292834207, 0.804685575967641], [0.634942219347285, 0.0819599118326526]])","Matrix([[0.955389526859333, 0.269852035112805], [0.456808984896419, 0.716116887938989]])","Matrix([[0.953128397261208, 0.988686842038061], [0.543363258885926, 0.868879683237161]])","Matrix([[1.55244597551127, 0.954288878781714], [1.27573113069869, 1.74382086869210]])","Matrix([[3.24288981506959, 3.73665702370312]])"
L=3,$l_i$=3,$eta=0.50$,"Matrix([[0.238197477404926, 0.647530531114902], [0.701179457570588, 0.633104225729803]])","Matrix([[0.599469683777175, 0.0790488087188270], [0.323024126178465, 0.0900246672803668], [0.648774635782537, 0.751086573769298]])","Matrix([[0.886923227189495, 0.828269067908958, 0.816758114868321], [0.374335194666656, 0.325191190113470, 0.559642203748182], [0.413803564341254, 0.714833658308570, 0.808544432712529]])","Matrix([[0.726190539162209, 0.553334468994042, 0.596942740306738], [1.01900403614615, 0.556627314642310, 0.811289685027104], [1.19244356787083, 0.336810927066133, 1.04589190232295]])","Matrix([[2.54664295552418, 2.52414098828684, 2.56802024626638]])"
L=3,$l_i$=4,$eta=0.50$,"Matrix([[0.227125627812598, 0.951220569998488], [0.306640024563332, 0.411390178655648]])","Matrix([[0.234103950336088, 0.424575498931358], [0.621027370185419, 0.163585632451534], [0.389391794106873, 0.430784873144178], [0.590984512802503, 0.496503322518509]])","Matrix([[0.625613489592232, 0.250323049392929, 0.568426643924004, 0.414044098283495], [0.289466537689644, 0.173010445952893, 0.245694168993948, 0.419987718908893], [0.319945020348775, 0.355458882448686, 0.449235046026310, 0.272294771059547], [0.408800879550330, 0.746053198318025, 0.360159738834054, 0.572962730460392]])","Matrix([[0.832288735710800, 0.248540242756728, 0.650989721736465, 0.618374108222873], [0.907674552001545, 0.507132294651198, 0.440505745173001, 0.772704476439058], [0.375292139802618, 0.321350968816120, 0.670715225246672, 0.768219177048685], [0.674355997213887, 0.568065763615886, 0.588828373225835, 0.805522490849927]])","Matrix([[1.41207563542342, 2.40516706622025, 1.44846930435822, 2.56906115371299]])"
L=3,$l_i$=5,$eta=0.50$,"Matrix([[0.787851498683708, 0.505845174231497], [0.929972469053857, 0.118787637312684]])","Matrix([[0.481219231714778, 0.482811109250379], [0.411050874500324, 0.0883449897029716], [0.494132469084404, 0.0712724646309029], [0.644302487987722, 0.480003386064644], [0.558444405260285, 0.0761693796975352]])","Matrix([[0.337800310696270, 0.269853483748678, 0.364097167774175, 0.271005999710580, 0.0904554809427854], [0.385335723049919, 0.621444535029787, 0.0867177228103273, 0.508263874413977, 0.528561526842891], [0.364592357099693, 0.534219941829762, 0.329191880315735, 0.430894708248484, 0.246684049654698], [0.425831319865587, 0.538050473690165, 0.369046025531479, 0.493914211696744, 0.101170998268972], [0.284002827031981, 0.331672658316180, 0.246236246150696, 0.0670685291970736, 0.179035737584120]])","Matrix([[0.623676811301246, 0.655588287696323, 0.225935861251807, 0.354810321270288, 0.245941720978156], [0.489912552762939, 0.558290538140500, 0.544132647779295, 0.725971905182234, 0.219285925158824], [0.459206623176524, 0.368369217298807, 0.257511933564118, 0.425307263088926, 0.452480242909705], [0.480445961528990, 0.736601381870836, 0.450714501119518, 0.221662681940215, 0.189638134700136], [0.157899757782925, 0.458804030674776, 0.470589604592903, 0.320266581517079, 0.692544768028355]])","Matrix([[1.27131762490402, 2.18578945752891, 1.96265262226782, 1.62809780096422, 1.29157097056304]])"
L=3,$l_i$=1,$eta=0.20$,"Matrix([[0.307217738712836, 0.863751860632298], [0.817525419223837, 0.986451602693892]])","Matrix([[0.395840781092792, 1.31193289861343]])",Matrix([[1.92114680729108]]),Matrix([[2.81713167855559]]),Matrix([[5.73535089270219]])
L=3,$l_i$=2,$eta=0.20$,"Matrix([[0.601432264017412, 0.664045273502794], [0.577996693988107, 1.00470509279692]])","Matrix([[0.594204726919631, 0.708198769521066], [0.966236061227562, 0.725707496366267]])","Matrix([[0.354384176674158, 0.562364522775205], [0.817647784760477, 1.07799567041723]])","Matrix([[1.37286415763151, 1.39864850638675], [1.10648556371116, 1.33455061105907]])","Matrix([[3.04177882520340, 3.24340553050533]])"
L=3,$l_i$=3,$eta=0.20$,"Matrix([[0.840828374829441, 0.262306701477976], [0.206065433320481, 0.611453967635086]])","Matrix([[0.606011388979423, 0.273356017351495], [0.841687049748710, 0.764296382309169], [0.566985826612453, 0.516168757123938]])","Matrix([[0.456335514053256, 0.454655713208420, 0.664553357440013], [0.806894736786287, 0.705825534558552, 0.393149087540325], [0.490067519917103, 0.617269114407465, 0.653518263200488]])","Matrix([[0.734051785561304, 0.927467883382157, 0.614725243026249], [0.668261103835728, 0.816861163778250, 0.774215403116872], [0.545997791700938, 0.554839686806564, 0.927647150676815]])","Matrix([[2.36107788548177, 2.24059526744336, 2.18946008113501]])"
L=3,$l_i$=4,$eta=0.20$,"Matrix([[0.971679269431567, 0.345703036147567], [0.139120014331626, 0.125241488322353]])","Matrix([[0.707703603889808, 0.590930329099196], [0.699848169426602, 0.667760788500681], [0.542295735286501, 0.144582139232005], [0.145219436476402, 0.156291348158552]])","Matrix([[0.453545832686127, 0.723133907800804, 0.262833927245837, 0.0984159662479983], [0.485139436857883, 0.174540714223020, 0.610758682389721, 0.463307424960577], [0.120606243665094, 0.124575457648330, 0.141018092300578, 0.671368162716898], [0.799530392702209, 0.257340061680977, 0.390002018711620, 0.170953855889090]])","Matrix([[0.254275504206081, 0.299675760248243, 0.174138717033743, 0.746855962278270], [0.370132992560380, 0.666436444411843, 0.480807937065697, 0.733707211220046], [0.445401062058149, 0.764955663366971, 0.193135902631553, 0.447479555149272], [0.533486946566024, 0.337529639351112, 0.945480221706415, 0.887634987012561]])","Matrix([[1.24192262638730, 2.10386771370900, 1.40766712001770, 2.37335945370898]])"
L=3,$l_i$=5,$eta=0.20$,"Matrix([[0.633090259239868, 0.601789512042267], [0.607366756945370, 0.0357681955433035]])","Matrix([[0.0846554224478312, 0.489053704399560], [0.0147622385767591, 0.145833077786900], [0.147383035891049, 0.0924110646952272], [0.565449513883428, 0.595769154040993], [0.414011891520194, 0.470540742502714]])","Matrix([[0.265775419490026, 0.337294662948903, 0.315104967812351, 0.196407519640612, 0.457612570322666], [0.627443573629074, 0.545704798004479, 0.481322235287449, 0.191004795795705, 0.356596372844665], [0.203601050579203, 0.158786252300284, 0.620083274025227, 0.342674943876926, 0.210027207345792], [0.289681342984844, 0.547356894112691, 0.0588139595397133, 0.338618668508386, 0.0733176662486762], [0.482078532037718, 0.0391606925130861, 0.475982254796917, 0.261535360214161, 0.448836106635499]])","Matrix([[0.428699664011975, 0.563485930576920, 0.313097697709472, 0.750343980896774, 0.435299534641443], [0.574726188627366, 0.486858834517436, 0.443010978096129, 0.439791694508653, 0.496632700378924], [0.511827401396715, 0.422659856287385, 0.648223658965933, 0.739064526770577, 0.273332779097025], [0.543723303438186, 0.661112798426891, 0.601847245739931, 0.309114744113096, 0.188989828653539], [0.535266124323139, 0.703054846614055, 0.305375454286283, 0.0915280634087945, 0.380474293386441]])","Matrix([[2.11175933828756, 1.15325244326296, 1.73626419861964, 1.04898587939025, 1.16864041299417]])"
